index,X,Y,Z,X2,Y2,Z2
1784,-5.173106e-02,1.495018e-01,9.551003e-04,-4.290210e+01,3.276800e+02,7.916203e+00
1785,-4.973022e-02,1.498689e-01,9.198736e-04,-2.829091e+00,3.299523e+02,6.980347e+00
1786,-5.179291e-02,1.496651e-01,9.563473e-04,-4.295176e+01,3.280472e+02,7.925114e+00
1787,-4.978980e-02,1.500326e-01,9.210804e-04,-2.833824e+00,3.303219e+02,6.988205e+00
1788,-5.185476e-02,1.498285e-01,9.575942e-04,-4.300142e+01,3.284145e+02,7.934026e+00
1789,-4.984937e-02,1.501962e-01,9.222872e-04,-2.838557e+00,3.306916e+02,6.996063e+00
1790,-5.191661e-02,1.499918e-01,9.588412e-04,-4.305108e+01,3.287818e+02,7.942937e+00
1791,-4.990894e-02,1.503599e-01,9.234940e-04,-2.843290e+00,3.310612e+02,7.003921e+00
1792,-5.197846e-02,1.501552e-01,9.600882e-04,-4.310074e+01,3.291490e+02,7.951849e+00
1793,-4.996852e-02,1.505236e-01,9.247008e-04,-2.848023e+00,3.314308e+02,7.011779e+00
1794,-5.204031e-02,1.503185e-01,9.613351e-04,-4.315040e+01,3.295163e+02,7.960760e+00
1795,-5.002809e-02,1.506872e-01,9.259076e-04,-2.852756e+00,3.318004e+02,7.019636e+00
1796,-5.210216e-02,1.504819e-01,9.625821e-04,-4.320006e+01,3.298836e+02,7.969672e+00
1797,-5.008766e-02,1.508509e-01,9.271144e-04,-2.857489e+00,3.321700e+02,7.027494e+00
1798,-5.216401e-02,1.506452e-01,9.638291e-04,-4.324972e+01,3.302508e+02,7.978583e+00
1799,-5.014723e-02,1.510146e-01,9.283212e-04,-2.862223e+00,3.325396e+02,7.035352e+00
1800,-5.222586e-02,1.508085e-01,9.650760e-04,-4.329938e+01,3.306181e+02,7.987494e+00
1801,-5.020681e-02,1.511782e-01,9.295280e-04,-2.866956e+00,3.329092e+02,7.043210e+00
1802,-5.228771e-02,1.509719e-01,9.663230e-04,-4.334904e+01,3.309854e+02,7.996406e+00
1803,-5.026638e-02,1.513419e-01,9.307348e-04,-2.871689e+00,3.332788e+02,7.051068e+00
1804,-5.234956e-02,1.511352e-01,9.675700e-04,-4.339870e+01,3.313526e+02,8.005317e+00
1805,-5.032595e-02,1.515056e-01,9.319416e-04,-2.876422e+00,3.336484e+02,7.058926e+00
1806,-5.241141e-02,1.512986e-01,9.688170e-04,-4.344836e+01,3.317199e+02,8.014229e+00
1807,-5.038553e-02,1.516692e-01,9.331484e-04,-2.881155e+00,3.340180e+02,7.066784e+00
1808,-5.247326e-02,1.514619e-01,9.700639e-04,-4.349802e+01,3.320872e+02,8.023140e+00
1809,-5.044510e-02,1.518329e-01,9.343552e-04,-2.885888e+00,3.343876e+02,7.074641e+00
1810,-5.253511e-02,1.516253e-01,9.713109e-04,-4.354768e+01,3.324544e+02,8.032052e+00
1811,-5.050467e-02,1.519966e-01,9.355620e-04,-2.890621e+00,3.347573e+02,7.082499e+00
1812,-5.259696e-02,1.517886e-01,9.725579e-04,-4.359734e+01,3.328217e+02,8.040963e+00
1813,-5.056425e-02,1.521602e-01,9.367688e-04,-2.895354e+00,3.351269e+02,7.090357e+00
1814,-5.265881e-02,1.519520e-01,9.738048e-04,-4.364700e+01,3.331890e+02,8.049874e+00
